"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"361" "Vegas Golden Knights" 1 2019 TRUE FALSE
"362" "Washington Capitals" 4 2019 TRUE FALSE
"363" "Winnipeg Jets" 1 2019 TRUE FALSE
"364" "Anaheim Ducks" 10 2020 FALSE TRUE
"365" "Arizona Coyotes" 11 2020 FALSE TRUE
"366" "Boston Bruins" 9 2020 FALSE TRUE
"367" "Buffalo Sabres" 12 2020 FALSE TRUE
"368" "Calgary Flames" 13 2020 FALSE TRUE
"369" "Carolina Hurricanes" 6 2020 FALSE TRUE
"370" "Chicago Blackhawks" 8 2020 FALSE TRUE
"371" "Colorado Avalanche" 5 2020 FALSE TRUE
"372" "Columbus Blue Jackets" 11 2020 FALSE TRUE
"373" "Dallas Stars" 13 2020 FALSE TRUE
"374" "Detroit Red Wings" 7 2020 FALSE TRUE
"375" "Edmonton Oilers" 7 2020 FALSE TRUE
"376" "Florida Panthers" 6 2020 FALSE TRUE
"377" "Los Angeles Kings" 11 2020 FALSE TRUE
"378" "Minnesota Wild" 9 2020 FALSE TRUE
"379" "Montreal Canadiens" 10 2020 FALSE TRUE
"380" "Nashville Predators" 8 2020 FALSE TRUE
"381" "New Jersey Devils" 12 2020 FALSE TRUE
"382" "New York Islanders" 6 2020 FALSE TRUE
"383" "New York Rangers" 8 2020 FALSE TRUE
"384" "Ottawa Senators" 11 2020 FALSE TRUE
"385" "Philadelphia Flyers" 10 2020 FALSE TRUE
"386" "Pittsburgh Penguins" 6 2020 FALSE TRUE
"387" "San Jose Sharks" 9 2020 FALSE TRUE
"388" "St. Louis Blues" 10 2020 FALSE TRUE
"389" "Tampa Bay Lightning" 3 2020 FALSE TRUE
"390" "Toronto Maple Leafs" 6 2020 FALSE TRUE
"391" "Vancouver Canucks" 6 2020 FALSE TRUE
"392" "Vegas Golden Knights" 9 2020 FALSE TRUE
"393" "Washington Capitals" 5 2020 FALSE TRUE
"394" "Winnipeg Jets" 11 2020 FALSE TRUE
"395" "Anaheim Ducks" 6 2020 FALSE FALSE
"396" "Arizona Coyotes" 6 2020 FALSE FALSE
"397" "Boston Bruins" 2 2020 FALSE FALSE
"398" "Buffalo Sabres" 8 2020 FALSE FALSE
"399" "Calgary Flames" 8 2020 FALSE FALSE
"400" "Carolina Hurricanes" 2 2020 FALSE FALSE
"401" "Chicago Blackhawks" 8 2020 FALSE FALSE
"402" "Colorado Avalanche" 4 2020 FALSE FALSE
"403" "Columbus Blue Jackets" 11 2020 FALSE FALSE
"404" "Dallas Stars" 4 2020 FALSE FALSE
"405" "Detroit Red Wings" 8 2020 FALSE FALSE
"406" "Edmonton Oilers" 5 2020 FALSE FALSE
"407" "Florida Panthers" 4 2020 FALSE FALSE
"408" "Los Angeles Kings" 4 2020 FALSE FALSE
"409" "Minnesota Wild" 2 2020 FALSE FALSE
"410" "Montreal Canadiens" 5 2020 FALSE FALSE
"411" "Nashville Predators" 10 2020 FALSE FALSE
"412" "New Jersey Devils" 14 2020 FALSE FALSE
"413" "New York Islanders" 6 2020 FALSE FALSE
"414" "New York Rangers" 6 2020 FALSE FALSE
"415" "Philadelphia Flyers" 7 2020 FALSE FALSE
"416" "Pittsburgh Penguins" 4 2020 FALSE FALSE
"417" "San Jose Sharks" 7 2020 FALSE FALSE
